word,translation,dialect,part_of_speech,difficulty
zdravo,hello,[B]/[C]/[S],interjection,1
doviđenja,goodbye,[B]/[C]/[S],interjection,1
molim,please,[B]/[C]/[S],verb,1
hvala,thank you,[B]/[C]/[S],noun,1
da,yes,[B]/[C]/[S],adverb,1
ne,no,[B]/[C]/[S],adverb,1
kako,how,[B]/[C]/[S],adverb,1
ko,who,[B]/[C]/[S],pronoun,1
gdje,where,[B]/[C]/[S],adverb,1
kada,when,[B]/[C]/[S],adverb,1
zašto,why,[B]/[C]/[S],adverb,1
prijatelj,friend,[B]/[C]/[S],noun,2
porodica,family,[B],noun,2
obitelj,family,[C],noun,2
računar,computer,[B],noun,2
računalo,computer,[C],noun,2
telefon,phone,[B]/[C]/[S],noun,1
škola,school,[B]/[C]/[S],noun,1
kuća,house,[B]/[C]/[S],noun,1
posao,work,[B]/[C]/[S],noun,2
učenje,studying,[B]/[C]/[S],noun,2
danas,today,[B]/[C]/[S],adverb,1
sutra,tomorrow,[B]/[C]/[S],adverb,1
juče,yesterday,[B],adverb,1
jučer,yesterday,[C],adverb,1
jutro,morning,[B]/[C]/[S],noun,1
noć,night,[B]/[C]/[S],noun,1
dobar,good,[B]/[C]/[S],adjective,1
velik,big,[B]/[C]/[S],adjective,2
mali,small,[B]/[C]/[S],adjective,2
